year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2004,10,Female,24771,106449,153653,163774,152976,106315,108939,157822,203671,214154,189079,179792,193811,143264,125722,109130,91538,73735,36643,24621,2559859
2005,1,Male,42982,155373,189651,190727,186937,195984,182162,184823,186793,172106,148878,131258,129476,101840,94190,76601,58721,38985,16140,6382,2490009
2005,1,Female,41379,148960,181237,181700,187609,216175,191178,185940,189589,176525,149585,128848,126355,102988,100855,90933,82184,68380,36516,22303,2609239
2005,2,Male,38196,137848,172395,177294,175821,192499,189997,195058,198582,179880,150858,130014,128599,100573,91189,74839,59549,41291,17642,7028,2459152
2005,2,Female,36703,131931,165063,169555,175614,203365,198855,194902,197969,183517,152706,129999,130091,105873,99438,91547,84168,70911,39143,23718,2585068
2005,3,Male,34270,123539,155296,164596,168052,197904,195465,198112,200988,183574,155043,135859,137273,107111,94511,79064,62299,43797,18475,7582,2462810
2005,3,Female,32511,117148,149175,158080,167077,200922,197757,194720,195961,183906,154556,137030,139404,111455,104036,95072,87039,73494,41394,25504,2566241
2005,4,Male,31291,112714,146714,158387,163338,191935,186550,197443,200049,188289,160284,143941,150870,119390,102906,85196,67598,46229,20396,8427,2481947
2005,4,Female,29823,108486,139804,150630,160500,193639,185888,190743,195293,186662,161373,145395,154028,123514,110638,100302,91213,77161,43413,27050,2575555
2005,5,Male,29155,108341,144273,155320,157429,170118,171365,183371,196243,191659,166690,150427,163759,130667,111060,92708,72241,49611,21905,9378,2475720
2005,5,Female,27506,102561,136923,147921,152922,166416,168981,182485,194450,191034,168434,154892,166919,135265,119629,107254,95468,80810,46149,29179,2575198
2005,6,Male,28126,107222,143620,153593,153879,157614,161243,179756,197125,194600,171876,157516,172775,137368,116375,96619,75347,50787,22809,9691,2487941
2005,6,Female,26848,101482,137045,147150,149306,149954,162285,178773,197259,195425,173241,160940,177407,143300,123148,110307,96761,81167,46462,29535,2587795
2005,7,Male,26685,105094,143745,155690,158127,151469,147513,170573,194377,196621,175530,162470,179719,142528,118571,99185,76377,51261,22683,9787,2488005
